start, goal, distance, forward, backward, path_forward, path_backward
192769,61806,539,23348,40683,636,636
315949,281527,294,5343,2617,301,301
234358,317109,239,5353,2855,274,274
319736,81244,642,29996,9847,695,695
158526,58321,483,11072,2951,484,484
97264,137596,156,1174,7815,191,191
215241,200709,224,26746,31200,599,599
279068,212787,185,72872,35886,802,802
58845,265341,522,47045,25133,937,937
50608,65666,132,231,1402,133,133
274740,88674,554,21135,15775,619,619
258690,345264,226,744,263,227,227
117463,77894,359,18139,7942,404,404
92923,255282,391,70897,46417,886,886
293830,155236,354,9823,2542,407,407
193204,291656,388,30460,63298,769,769
265543,192263,272,45297,45350,813,813
131016,108952,70,71,169,71,71
131763,280891,520,12385,8293,549,549
272547,114121,418,10840,8303,459,459
177118,284298,476,31033,46081,711,711
194923,157218,121,10925,5190,234,234
341496,90411,635,45310,26390,838,838
119781,358806,561,13320,23643,700,700
248747,275023,198,2384,2687,215,215
292436,168974,342,40058,42615,679,679
131945,172925,250,28087,16561,445,445
211485,200214,39,40,40,40,40
183690,99912,418,25335,32107,521,521
75683,311528,685,19068,19697,728,728
3664,367859,883,36959,15991,974,974
286473,126331,438,22844,12952,573,573
302111,164598,569,40941,24804,722,722
60963,202683,632,36237,25917,693,693
365280,110977,719,30625,28652,776,776
81755,139950,395,1052,21318,412,412
243887,214101,160,6814,6792,327,327
275123,70102,695,9420,12627,702,702
167193,63075,476,19914,3001,485,485
143419,60539,448,10517,2645,449,449
342220,266822,230,4332,4951,271,271
265704,196371,213,1989,1193,244,244
294378,44805,741,10082,13415,754,754
206726,66127,451,21582,44774,664,664
317650,322005,35,36,36,36,36
272599,127867,444,5644,5377,451,451
275323,261891,40,41,41,41,41
124477,333335,634,8221,7280,641,641
190294,53546,396,9297,3321,411,411
164206,364421,631,37677,57492,848,848
257099,216510,413,62827,56824,960,960
220994,104623,375,17451,29344,546,546
96752,143442,182,847,509,183,183
60071,278153,654,12921,9150,661,661
292522,285253,109,270,110,110,110
61412,372225,799,34599,35810,956,956
357057,223598,403,75423,43926,1044,1044
176782,274899,485,47123,62374,842,842
69245,117205,214,490,709,215,215
278988,204903,213,59476,36629,784,784
330677,222661,448,5226,1615,449,449
261629,294682,221,253,3106,222,222
192320,187537,31,32,32,32,32
226528,70451,597,14904,74651,842,842
181626,72582,324,13286,2535,371,371
114081,77401,210,5887,6151,253,253
288254,347425,287,410,319,288,288
277713,215367,150,65980,34654,787,787
286030,57525,647,19671,26109,740,740
99461,263192,435,42547,22521,746,746
374828,263597,307,7662,2303,326,326
140006,293001,499,5003,14678,522,522
74882,264519,455,41686,42694,952,952
312397,263977,188,193,301,189,189
131426,359273,615,7127,16747,662,662
393483,79617,784,44609,32572,1021,1021
212375,272883,252,3499,3550,277,277
319501,197635,474,75095,30688,995,995
335296,172861,435,43624,35301,750,750
77139,304154,647,31242,16836,696,696
196378,274012,306,10289,9024,421,421
336185,200558,411,67667,33683,880,880
194912,322878,526,32495,72864,915,915
313340,82772,744,17288,20945,751,751
321644,404321,217,12546,16657,482,482
189732,139769,381,27656,29659,544,544
298947,146986,373,4853,2917,390,390
255158,267933,247,15392,8126,382,382
227468,75833,435,9853,16992,474,474
136293,131042,67,184,68,68,68
153919,104580,137,138,348,138,138
307359,100329,534,24695,22393,739,739
234354,284160,126,354,129,127,127
381313,68792,827,36885,36921,984,984
370951,289113,190,4874,3089,241,241
138137,334473,640,37405,64722,905,905
302438,102900,536,13759,12005,583,583
80066,131984,162,7503,8793,295,295
313310,370473,139,3170,2032,188,188
224367,56494,519,9870,61325,780,780
194599,351452,469,31067,76628,966,966
372210,129658,632,14382,18079,677,677
136292,306309,545,8953,24168,602,602
186671,54009,576,23483,37699,655,655
135635,295919,444,17143,16559,511,511
319403,198477,398,74113,30530,875,875
148090,291341,691,31847,65680,908,908
234451,71718,451,15559,8736,500,500
398222,2378,996,18976,12779,1019,1019
210064,77141,315,13735,18167,454,454
164118,183354,228,28081,18410,457,457
136287,264305,446,8486,10696,503,503
144270,255756,462,64760,25610,725,725
172910,161084,162,4814,2009,201,201
114217,265267,416,14377,5183,551,551
125738,378314,720,10711,20864,727,727
90253,83988,245,19389,18199,446,446
111140,369209,597,17142,28659,774,774
222307,44977,610,23631,46886,809,809
364869,139179,618,13990,4647,625,625
191411,178098,141,1021,225,142,142
194626,162398,260,14193,28005,427,427
342684,153313,587,32659,32312,734,734
248190,99256,362,14338,59517,743,743
324624,286454,154,161,1346,155,155
142555,180592,155,5607,3711,200,200
258372,317163,233,6153,10274,272,272
187632,377002,586,31238,70452,973,973
343530,350585,143,1722,915,176,176
