map,i,start,goal_near,goal_far,closed,forward,backward
arena2.map,94,45352,28231,11655,2356,1311,2777
arena2.map,95,15881,14796,27035,44,162,140
arena2.map,96,24809,27383,22612,154,525,738
arena2.map,97,33785,20902,27508,842,2878,2897
arena2.map,98,371,43647,29382,2686,1906,4580
arena2.map,99,24067,14211,42423,411,196,441
brc000d.map,0,4073,22623,35707,196,1458,510
brc000d.map,1,28088,41858,25228,2508,1365,1612
brc000d.map,2,4786,2819,56166,18,9780,2749
brc000d.map,3,42620,48509,12238,27386,0,0
brc000d.map,4,7470,32742,50284,1773,77,154
brc000d.map,5,11752,22626,23820,157,190,84
brc000d.map,6,22016,34541,38742,354,20,39
brc000d.map,7,11976,7478,30821,204,303,306
brc000d.map,8,32808,9240,1509,455,107,1210
brc000d.map,9,19434,22583,24740,147,354,2240
brc000d.map,10,19356,36228,49820,234,410,62
brc000d.map,11,56680,36447,39838,878,473,1815
brc000d.map,12,8714,13771,26138,1571,227,427
brc000d.map,13,8305,2731,49462,163,6519,3981
brc000d.map,14,9692,8988,52251,41,6194,3447
brc000d.map,15,20577,27027,41461,246,172,870
brc000d.map,16,26632,28271,44015,1599,633,1382
brc000d.map,17,44394,36510,22005,53,544,700
brc000d.map,18,49499,44093,18700,1577,0,27386
brc000d.map,19,11177,27195,27027,470,364,117
brc000d.map,20,36697,24372,44062,76,134,141
brc000d.map,21,51978,35949,20706,1577,0,27386
brc000d.map,22,4217,41142,50529,352,40,3361
brc000d.map,23,11027,9482,11171,279,692,2087
brc000d.map,24,33731,40469,18382,103,183,725
brc000d.map,25,47488,49456,8226,17,3591,11093
brc000d.map,26,6018,5467,52263,713,376,234
brc000d.map,27,54912,33510,8692,1577,0,27386
brc000d.map,28,23889,47826,3517,412,473,706
brc000d.map,29,19896,30036,41890,79,175,83
brc000d.map,30,28011,26831,3340,529,95,651
brc000d.map,31,20840,14250,30368,355,191,859
brc000d.map,32,6929,14210,47734,240,11508,11826
brc000d.map,33,11672,17695,43793,123,9827,3382
brc000d.map,34,29296,31787,6280,32,138,376
brc000d.map,35,24993,28261,3831,78,118,666
brc000d.map,36,31418,30986,3072,3112,160,15985
brc000d.map,37,25409,14650,4034,1166,60,230
brc000d.map,38,18942,17964,21382,15,40,40
brc000d.map,39,33665,29299,6692,1639,2211,15465
brc000d.map,40,25466,16900,56141,296,27090,1577
brc000d.map,41,35072,28258,342,929,230,352
brc000d.map,42,2999,22988,43535,2481,9369,3457
brc000d.map,43,36290,16695,34644,424,6399,1750
brc000d.map,44,32048,20362,20026,447,1094,139
brc000d.map,45,8288,19045,49041,5751,521,181
brc000d.map,46,13257,25391,35779,467,117,93
brc000d.map,47,41931,36491,3519,29,559,1063
brc000d.map,48,42329,31185,34875,75,36,36
brc000d.map,49,45008,29283,31573,2362,153,78
brc000d.map,50,4241,20802,37012,2061,671,12468
brc000d.map,51,3584,17731,49745,161,27225,1577
brc000d.map,52,28330,16919,50794,110,192,104
brc000d.map,53,18165,35125,40738,11600,81,312
brc000d.map,54,38457,19906,53935,1511,25875,1577
brc000d.map,55,856,7761,53913,40,27346,1577
brc000d.map,56,30752,50247,25900,27386,0,0
brc000d.map,57,6545,14274,55404,104,27282,1577
brc000d.map,58,37785,33788,10541,62,1974,310
brc000d.map,59,51208,29330,3974,1577,0,27386
brc000d.map,60,41938,49783,7276,217,414,1407
brc000d.map,61,46011,47236,19717,16,1538,1497
brc000d.map,62,44117,6814,9230,1174,50,50
brc000d.map,63,36634,11982,23917,2618,159,6887
brc000d.map,64,22646,35270,53477,176,806,238
brc000d.map,65,41887,44263,8725,105,203,507
brc000d.map,66,2992,16922,29996,277,255,111
brc000d.map,67,55688,23599,6216,1150,3634,8743
brc000d.map,68,23592,26022,23649,321,224,193
brc000d.map,69,38240,36058,21318,51,622,255
brc000d.map,70,9728,24613,26886,504,60,1022
brc000d.map,71,29553,47067,42819,213,49,217
brc000d.map,72,45848,13171,3322,270,104,210
brc000d.map,73,32913,29770,8455,2549,937,15876
brc000d.map,74,1065,39602,46519,13299,14087,1577
brc000d.map,75,3222,20542,25595,2289,162,312
brc000d.map,76,32496,33275,23780,84,327,144
brc000d.map,77,3076,42581,37966,7967,35,364
brc000d.map,78,6008,16165,22009,72,741,299
brc000d.map,79,11426,26573,47095,147,105,618
brc000d.map,80,34169,21929,6566,1567,685,10824
brc000d.map,81,11993,6229,37242,608,311,314
brc000d.map,82,12760,27817,7208,774,643,1975
brc000d.map,83,14473,4211,44533,1339,3976,933
brc000d.map,84,31549,43117,13461,125,226,250
brc000d.map,85,20841,21131,7018,45,75,129
brc000d.map,86,18464,10255,55932,711,2252,248
brc000d.map,87,17693,35485,6924,261,3885,326
brc000d.map,88,30112,27524,45255,1216,655,1434
brc000d.map,89,36512,28323,26214,72,3148,337
brc000d.map,90,6931,11951,55414,164,27222,1577
brc000d.map,91,28345,29503,15707,566,520,157
brc000d.map,92,41364,30028,35631,85,105,1021
brc000d.map,93,54212,52222,14935,27386,0,0
brc000d.map,94,9194,10468,35013,45,270,414
brc000d.map,95,46848,21694,2099,190,179,885
brc000d.map,96,21851,30534,47061,79,1561,919
brc000d.map,97,37530,53495,55206,156,26,90
brc000d.map,98,34825,16133,10959,741,30,126
brc000d.map,99,31857,42550,49703,4317,73,1226
brc100d.map,0,56632,67508,39468,4217,554,4498
brc100d.map,1,16266,45262,53883,11718,14,5826
brc100d.map,2,50512,30410,94918,7900,354,3171
brc100d.map,3,70795,31205,59271,563,4996,2753
brc100d.map,4,70783,72679,40213,70,84,153
brc100d.map,5,89883,43198,18267,1092,13815,5141
brc100d.map,6,98869,34909,64917,2230,1184,325
brc100d.map,7,39489,62133,36927,3253,16633,9852
brc100d.map,8,30459,32853,58581,808,6856,9221
brc100d.map,9,29306,3779,90819,118,3562,1827
brc100d.map,10,52360,54719,55246,14,4223,3890
brc100d.map,11,48034,73124,8095,475,5475,9428
brc100d.map,12,51587,70245,34902,6208,7058,7483
brc100d.map,13,58812,84319,83574,98,2519,464
brc100d.map,14,55344,82395,8493,5628,13183,15931
brc100d.map,15,45784,60139,75418,4118,63,2265
brc100d.map,16,94576,62091,19429,173,17829,4889
brc100d.map,17,82071,30309,43591,4119,7,7
brc100d.map,18,21360,47506,97280,17374,143,10019
brc100d.map,19,54065,62559,21411,2259,116,383
brc100d.map,20,46123,24955,56941,5751,5078,8049
brc100d.map,21,39836,26884,32460,75,4454,9891
brc100d.map,22,80497,64908,30690,1080,3491,2013
brc100d.map,23,75840,21367,24580,18947,0,0
brc100d.map,24,51713,40945,76483,9000,4244,7563
brc100d.map,25,50250,50787,45699,9480,173,4910
brc100d.map,26,29115,22596,29277,18365,20,9015
brc100d.map,27,66808,63194,26953,2702,6493,4341
brc100d.map,28,93801,56908,33639,1622,5857,582
brc100d.map,29,57296,23382,26934,18498,1,6808
brc100d.map,30,26482,56139,47450,8763,4647,8121
brc100d.map,31,41784,43042,3788,4552,1386,8925
brc100d.map,32,56689,36693,63524,378,7691,7676
